fid,georreferencia,id,nombre,fuente,cota
pasos_fronterizos.1,POINT (-70.07780451103443 -32.813066224258264),1,Cristo Redentor,SIAT,3630
pasos_fronterizos.2,POINT (-70.53626888540337 -35.20004114075697),2,El PlanchÃ³n,SIAT,3006
pasos_fronterizos.3,POINT (-70.29279362003894 -34.885397667114006),3,Las Damas,SIAT,3814
pasos_fronterizos.4,POINT (-70.3985234233959 -35.969838858509995),4,Del Pehuenche,SIAT,2856
pasos_fronterizos.5,POINT (-69.86385054266984 -33.62647252239242),5,TunuyÃ¡n,SIAT,3960
pasos_fronterizos.6,POINT (-70.19410555848152 -34.59055003581962),6,Las LeÃ±as,SIAT,3750
pasos_fronterizos.7,POINT (-69.80408942362777 -34.23637173078948),7,MaipÃº,IGN,3449
pasos_fronterizos.8,POINT (-69.85810766577421 -34.1376210323776),8,Alvarado Sur,IGN,3805
pasos_fronterizos.9,POINT (-69.87336588454711 -33.930481516633016),9,De la Colina,IGN,4080
pasos_fronterizos.10,POINT (-69.61326060652969 -33.61961875480182),10,Argentino,IGN,4380
pasos_fronterizos.11,POINT (-69.80879572824973 -33.30838301633538),11,Del Tupungato,IGN,4764
pasos_fronterizos.12,POINT (-70.15245425934236 -32.71906462479329),12,Del Potrero Escondido,IGN,4047
pasos_fronterizos.13,POINT (-70.09997086087542 -32.60061026247086),13,Del Norte,IGN,4789
pasos_fronterizos.14,POINT (-70.2039958697431 -35.97513748871158),14,Piedras Bayas,IGN,2427
pasos_fronterizos.15,POINT (-70.43184427082699 -35.329348884164105),15,Potrerillos,IGN,2780
